"tag","ja","aliases"
"bottomless","穿いてない,ボトムレス,下脱ぎ,フルチン","穿いてない,ボトムレス,下脱ぎ,フルチン"
"bound","バインド","バインド"
"bowtie","蝶ネクタイ,ボウタイ","蝶ネクタイ,ボウタイ"
"bra","ブラジャー,ブラ,デカブラ","ブラジャー,ブラ,デカブラ"
"bracelet","ブレスレット,腕輪","ブレスレット,腕輪"
"breasts_out","乳だけ出してる","乳だけ出してる"
"breast_press","あててんのよ,つぶれおっぱい","あててんのよ,つぶれおっぱい"
"breath","呼吸","呼吸"
"broom","ほうき,箒,ホウキ","ほうき,箒,ホウキ"
"bubble","泡,シャボン玉,気泡","泡,シャボン玉,気泡"
"buckle","バックル","バックル"
"bug","昆虫,虫,こんちゅう,蟲姦,虫姦","昆虫,虫,こんちゅう,蟲姦,虫姦"
"building","建物,ビル,建築物","建物,ビル,建築物"
"bulge","形くっきりペニス","形くっきりペニス"
"butterfly","蝶,蝶々,蝴蝶","蝶,蝶々,蝴蝶"
"buttons","釦,ボタン","釦,ボタン"
"cake","ケーキ","ケーキ"
"cameltoe","いいスジしてる,メコスジ,すじ,スジ,キャメルトゥ,まんすじ","いいスジしてる,メコスジ,すじ,スジ,キャメルトゥ,まんすじ"
"camisole","キャミソール,キャ","キャミソール,キャ"
"candy","飴,飴玉,あめ,あめだま,キャンデー,キャンディ,キャンディー,スイーツ","飴,飴玉,あめ,あめだま,キャンデー,キャンディ,キャンディー,スイーツ"
"cape","ケープ,披風","ケープ,披風"
"capelet","肩掛け,ショール","肩掛け,ショール"
"cardigan","カーディガン","カーディガン"
"casual","私服","私服"
"cat","猫,ねこ,猫と女の子,ネコ,イエネコ","猫,ねこ,猫と女の子,ネコ,イエネコ"
"cat_ears","猫耳,ネコミミ,ねこみみ,ネコ耳,ねこ耳,猫耳カチューシャ","猫耳,ネコミミ,ねこみみ,ネコ耳,ねこ耳,猫耳カチューシャ"
"cat_girl","キャットガール,猫系女子,猫耳娘,猫娘","キャットガール,猫系女子,猫耳娘,猫娘"
"cat_tail","ねこしっぽ,猫しっぽ,猫尻尾","ねこしっぽ,猫しっぽ,猫尻尾"
"cellphone","携帯電話,ケータイ","携帯電話,ケータイ"
"chain","鎖","鎖"
"chair","椅子","椅子"
"cherry_blossoms","桜,桜吹雪,桜の花","桜,桜吹雪,桜の花"
"chibi","ちびキャラ,ちび,デフォルメ,SDイラスト,ちびきゃら,ミニキャラ,デフォルメエロ,SDキャラ","ちびキャラ,ちび,デフォルメ,SDイラスト,ちびきゃら,ミニキャラ,デフォルメエロ,SDキャラ"
"child","幼女,子供,幼児,女児,少年,男児","幼女,子供,幼児,女児,少年,男児"
"china_dress","チャイナドレス,チャイナ","チャイナドレス,チャイナ"
"chinese_clothes","チャイナ服,中華風,中国風","チャイナ服,中華風,中国風"
"choker","チョーカー,ちょーかー","チョーカー,ちょーかー"
"christmas","クリスマス","クリスマス"
"cirno","チルノ","チルノ"
"claws","鉤爪","鉤爪"
"cleavage_cutout","谷間ホール","谷間ホール"
"clenched_hand","握り拳,握りこぶし","握り拳,握りこぶし"
"clenched_teeth","歯ぎしり","歯ぎしり"
"cloak","マント","マント"
"close-up","特写,接写","特写,接写"
"clothed_sex","着衣セックス,着衣交尾,着衣アナルセックス","着衣セックス,着衣交尾,着衣アナルセックス"
"clothes_lift","たくし上げ","たくし上げ"
"clothes_writing","文字Tシャツ","文字Tシャツ"
"clothing_aside","股布ずらし,ずらし挿入,ずらし事後","股布ずらし,ずらし挿入,ずらし事後"
"cloud","雲,くも","雲,くも"
"cloudy_sky","曇天,曇り空,曇り","曇天,曇り空,曇り"
"coat","コート,外套","コート,外套"
"collar","首輪","首輪"
"colored_inner_hair","インナーカラー","インナーカラー"
"colored_skin","異色肌","異色肌"
"commission","コミッション,依頼絵,お仕事絵,リクエスト,委托,有償依頼","コミッション,依頼絵,お仕事絵,リクエスト,委托,有償依頼"
"completely_nude","生まれたままの姿(産まれたままの姿)全裸(ヌード),すっぽんぽん,裸帽子,全裸,完全裸,髪飾り以外完全裸","生まれたままの姿(産まれたままの姿)全裸(ヌード),すっぽんぽん,裸帽子,全裸,完全裸,髪飾り以外完全裸"
"condom","コンドーム","コンドーム"
"convenient_censoring","見えない構図","見えない構図"
"copyright_name","タイトル回収","タイトル回収"
"corset","コルセット","コルセット"
"cosplay","コスプレ","コスプレ"
"couch","ソファー,ソファ","ソファー,ソファ"
"couple","カップル","カップル"
"cover","カバー","カバー"
"covered_navel","透けへそ","透けへそ"
"covered_nipples","胸ポチ,勃起乳首,透け乳首,浮き乳首","胸ポチ,勃起乳首,透け乳首,浮き乳首"
"cover_page","表紙","表紙"
"cowgirl_position","騎乗位,アナル騎乗位,騎上位","騎乗位,アナル騎乗位,騎上位"
"cropped_jacket","ボレロ","ボレロ"
"crop_top","ハーフトップ","ハーフトップ"
"cross","十字架,十字","十字架,十字"
"crossdressing","女装,男装,女装男子,女装子,女裝,女装オナニー,女水着チャレンジ,男体化女装","女装,男装,女装男子,女装子,女裝,女装オナニー,女水着チャレンジ,男体化女装"
"crossed_arms","腕組み","腕組み"
"crossed_legs","足組み,タイツ足組み","足組み,タイツ足組み"
"crossover","クロスオーバー,版権クロスオーバー,夢の共演","クロスオーバー,版権クロスオーバー,夢の共演"
"crown","王冠","王冠"
"cuffs","手枷,手錠","手枷,手錠"
"cum","精液,ザーメン","精液,ザーメン"
"cumdrip","溢れ精液","溢れ精液"
"cum_in_pussy","中出し,膣出し,中出,膣内射精,体内射精","中出し,膣出し,中出,膣内射精,体内射精"
"cup","コップ,カップ","コップ,カップ"
"curly_hair","巻き毛","巻き毛"
"curtains","カーテン","カーテン"
"curvy","むちむち,むちましい,グラマラス,女神的女体","むちむち,むちましい,グラマラス,女神的女体"
"danganronpa_(series)","ダンガンロンパ","ダンガンロンパ"
"dark-skinned_female","褐色娘,褐色ロリ","褐色娘,褐色ロリ"
"dark-skinned_male","黒人","黒人"
"dark_skin","褐色,褐色肌,色黒","褐色,褐色肌,色黒"
"dated","日付","日付"
"day","昼間,昼,ひる","昼間,昼,ひる"
"demon_girl","悪魔っ娘,悪魔娘,サキュバス,悪魔っ子,悪魔,ロリサキュバス","悪魔っ娘,悪魔娘,サキュバス,悪魔っ子,悪魔,ロリサキュバス"
"demon_wings","悪魔羽","悪魔羽"
"denim","デニム","デニム"
"depth_of_field","被写界深度","被写界深度"
"desk","机","机"
"detached_sleeves","袖だけ霊夢,袖だけ","袖だけ霊夢,袖だけ"
"dog_ears","犬耳","犬耳"
"double_bun","お団子頭,お団子","お団子頭,お団子"
"dress_shirt","Yシャツ,ワイシャツ,裸Yシャツ","Yシャツ,ワイシャツ,裸Yシャツ"
"drill_hair","縦ロール,ドリルヘアー","縦ロール,ドリルヘアー"
"drinking_glass","グラス","グラス"
"drooling","よだれ","よだれ"
"dutch_angle","ダッチアングル","ダッチアングル"
"eating","もぐもぐ","もぐもぐ"
"ejaculation","射精,ビュービュー系,乳内射精,挟射,大量射精","射精,ビュービュー系,乳内射精,挟射,大量射精"
"elbow_gloves","長手袋,ロンググローブ,白長手袋","長手袋,ロンググローブ,白長手袋"
"elf","エルフ,エロフ,ロリフ","エルフ,エロフ,ロリフ"
"embarrassed","恥じらい,恥,恥ずかしい,はずかしい,羞恥,赤面","恥じらい,恥,恥ずかしい,はずかしい,羞恥,赤面"
"empty_eyes","レイプ目,虚ろ目,ベタ目,マグロ目,死んだ魚のような目,目が死んでる","レイプ目,虚ろ目,ベタ目,マグロ目,死んだ魚のような目,目が死んでる"
"english_text","英語","英語"
"epaulettes","肩章","肩章"
"erection","勃起,剥けチン","勃起,剥けチン"
"expressionless","無表情,平然","無表情,平然"
"extra_ears","四つ耳","四つ耳"
"eyebrows","眉毛","眉毛"
"eyelashes","まつげ,睫毛","まつげ,睫毛"
"eyepatch","眼帯,アイパッチ","眼帯,アイパッチ"
"eyeshadow","アイシャドウ,眼影","アイシャドウ,眼影"
"facial","顔射","顔射"
"facial_hair","髭,ひげ,ヒゲ","髭,ひげ,ヒゲ"
"fake_animal_ears","付け耳,つけ耳","付け耳,つけ耳"
"fang","八重歯","八重歯"
"fangs","八重歯","八重歯"
"fate_(series)","Fateシリーズ","Fateシリーズ"
"feet","足,足フェチ","足,足フェチ"
"fellatio","フェラ,フェラチオ,フェラピス,チン毛付きフェラ,ノーハンド,輪フェラ,パイフェラ,机の下のフェラ,逆フェラ,オナフェラ,うごフェラ,口交","フェラ,フェラチオ,フェラピス,チン毛付きフェラ,ノーハンド,輪フェラ,パイフェラ,机の下のフェラ,逆フェラ,オナフェラ,うごフェラ,口交"
"female_pubic_hair","マン毛","マン毛"
"final_fantasy","ファイナルファンタジー","ファイナルファンタジー"
"fingering","手マン,指マン,乳首舐め手マン","手マン,指マン,乳首舐め手マン"
"fingerless_gloves","指抜きグローブ","指抜きグローブ"
"fingernails","爪","爪"
"finger_to_mouth","口に手","口に手"
"fire","火,炎","火,炎"
"fire_emblem","ファイアーエムブレム,ガチホモエムブレム,FE腐向け","ファイアーエムブレム,ガチホモエムブレム,FE腐向け"
"fish","魚,さかな,魚姦,海生物姦","魚,さかな,魚姦,海生物姦"
